,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe
0,AlexNet_Weights.IMAGENET1K_V1,56.522,79.066,61.1M,0.71,link
1,ConvNeXt_Base_Weights.IMAGENET1K_V1,84.062,96.87,88.6M,15.36,link
2,ConvNeXt_Large_Weights.IMAGENET1K_V1,84.414,96.976,197.8M,34.36,link
3,ConvNeXt_Small_Weights.IMAGENET1K_V1,83.616,96.65,50.2M,8.68,link
4,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,82.52,96.146,28.6M,4.46,link
5,DenseNet121_Weights.IMAGENET1K_V1,74.434,91.972,8.0M,2.83,link
6,DenseNet161_Weights.IMAGENET1K_V1,77.138,93.56,28.7M,7.73,link
7,DenseNet169_Weights.IMAGENET1K_V1,75.6,92.806,14.1M,3.36,link
8,DenseNet201_Weights.IMAGENET1K_V1,76.896,93.37,20.0M,4.29,link
9,EfficientNet_B0_Weights.IMAGENET1K_V1,77.692,93.532,5.3M,0.39,link
10,EfficientNet_B1_Weights.IMAGENET1K_V1,78.642,94.186,7.8M,0.69,link
11,EfficientNet_B1_Weights.IMAGENET1K_V2,79.838,94.934,7.8M,0.69,link
12,EfficientNet_B2_Weights.IMAGENET1K_V1,80.608,95.31,9.1M,1.09,link
13,EfficientNet_B3_Weights.IMAGENET1K_V1,82.008,96.054,12.2M,1.83,link
14,EfficientNet_B4_Weights.IMAGENET1K_V1,83.384,96.594,19.3M,4.39,link
15,EfficientNet_B5_Weights.IMAGENET1K_V1,83.444,96.628,30.4M,10.27,link
16,EfficientNet_B6_Weights.IMAGENET1K_V1,84.008,96.916,43.0M,19.07,link
17,EfficientNet_B7_Weights.IMAGENET1K_V1,84.122,96.908,66.3M,37.75,link
18,EfficientNet_V2_L_Weights.IMAGENET1K_V1,85.808,97.788,118.5M,56.08,link
19,EfficientNet_V2_M_Weights.IMAGENET1K_V1,85.112,97.156,54.1M,24.58,link
20,EfficientNet_V2_S_Weights.IMAGENET1K_V1,84.228,96.878,21.5M,8.37,link
21,GoogLeNet_Weights.IMAGENET1K_V1,69.778,89.53,6.6M,1.5,link
